eruptionID,year,waiting_min,dur
25059,1970,73.0,4.25
25070,1970,40.0,1.75
25071,1970,83.0,4.5
25072,1970,49.0,2.0
25073,1970,77.0,4.5
25074,1970,41.0,1.75
25075,1970,76.0,4.0
25076,1970,42.0,1.75
25077,1970,74.0,4.5
25078,1970,68.0,3.5
25079,1970,63.0,3.0
25080,1970,70.0,4.25
25081,1970,64.0,4.0
25092,1970,73.0,4.0
25093,1970,43.0,2.5
25094,1970,85.0,4.25
25095,1970,46.0,1.5
25096,1970,80.0,4.5
25097,1970,42.0,1.5
25098,1970,71.0,4.0
25099,1970,59.0,3.0
25101,1970,46.0,2.0
25102,1970,83.0,4.5
25110,1970,42.0,1.75
25111,1970,66.0,4.25
25112,1970,70.0,4.75
25113,1970,55.0,2.0
25114,1970,72.0,4.25
25115,1970,44.0,2.0
25116,1970,72.0,3.75
25117,1970,46.0,1.75
25118,1970,77.0,4.5
25119,1970,48.0,2.0
25120,1970,84.0,4.5
25121,1970,47.0,2.0
25129,1970,48.0,1.75
25130,1970,72.0,4.0
25131,1970,46.0,1.75
25132,1970,71.0,4.0
25133,1970,45.0,2.5
25134,1970,78.0,3.25
25135,1970,47.0,1.75
25136,1970,75.0,4.0
25137,1970,50.0,1.75
25138,1970,77.0,4.5
25139,1970,49.0,1.75
25140,1970,71.0,4.0
25150,1970,79.0,4.75
25151,1970,45.0,2.0
25152,1970,79.0,3.5
25153,1970,47.0,1.5
25154,1970,86.0,4.5
25155,1970,43.0,2.0
25156,1970,75.0,4.25
25157,1970,68.0,3.0
25158,1970,47.0,2.5
25159,1970,80.0,4.0
25160,1970,50.0,2.0
25161,1970,77.0,4.0
25169,1970,70.0,4.5
25170,1970,45.0,1.5
25171,1970,75.0,4.5
25172,1970,46.0,1.75
25173,1970,81.0,4.0
25174,1970,45.0,1.75
25175,1970,72.0,4.0
25176,1970,48.0,1.75
25177,1970,77.0,3.75
25178,1970,47.0,1.0
25179,1970,77.0,4.0
25180,1970,48.0,1.75
25188,1970,44.0,2.5
25189,1970,77.0,3.0
25190,1970,54.0,1.75
25191,1970,74.0,3.75
25192,1970,45.0,1.75
25193,1970,77.0,4.25
25194,1970,74.0,3.5
25195,1970,75.0,4.0
25196,1970,41.0,1.75
25197,1970,77.0,4.25
25198,1970,51.0,2.0
25206,1970,57.0,2.25
25207,1970,76.0,4.25
25208,1970,61.0,2.75
25209,1970,74.0,4.0
25210,1970,55.0,1.75
25211,1970,77.0,4.5
25213,1970,89.0,4.0
